,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
57,0.000178399,0,0.000171909,0.01484557,400,1,99000,0.015581781,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799352,2,0,0,0,5,0.0287326,-0.867812,0.9252772,3.500089,0,0,90.07784,0,-0.001324235,70,0,-4.19E-06,-0.007146612,-0.06788077
58,-0.000102148,0,0.000390958,0.01398572,400,1,99000,0.015652105,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799354,2,0,0,0,5,0.0287326,-0.867812,0.9252772,3.500089,0,0,90.07784,0,-0.001324148,70,0,-2.49E-06,-0.007031616,-0.06768902
59,-0.000272188,0,6.89E-05,0.01290334,400,1,99000,0.015727995,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799291,2,0,0,0,5,0.02873255,-0.867812,0.9252771,3.500089,0,0,90.07784,0,-0.001328054,70,0,-6.14E-07,-0.006817787,-0.06768902
60,-0.000107823,0,6.22E-05,0.01260936,400,1,99000,0.015792332,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799272,2,0,0,0,5,0.02873255,-0.867812,0.9252771,3.500089,0,0,90.07784,0,-0.001329819,70,0,-1.80E-08,-0.006703213,-0.06768902
61,0.000134412,0,5.30E-05,0.01251109,400,1,99000,0.015858855,254.4428,99000,250.1438,99000,99000,6,10000,0,0,1,1.570799263,2,0,0,0,5,0.02873252,-0.867812,0.9252771,3.500089,0,0,90.07784,0,-0.001329684,70,0,4.12E-07,-0.006609105,-0.06768902
62,0.000456385,0,4.17E-05,0.01249728,400,1,99000,0.015924134,254.4428,99000,250.1438,99000,99000,6,10000,0,0,1,1.570799256,2,0,0,0,5,0.02873252,-0.867812,0.9252771,3.500089,0,0,90.07784,0,-0.001327283,70,0,7.89E-07,-0.006509162,-0.06768902
63,0.001301366,0,1.79E-05,0.0127826,400,1,99000,0.015984971,254.4428,99000,250.1438,99000,99000,6,10000,0,0,1,1.570799245,2,0,0,0,5,0.02873256,-0.867812,0.9252772,3.500089,0,0,90.07784,0,-0.00131324,70,0,1.26E-06,-0.006307303,-0.06768902
64,0.001740669,0,7.80E-05,0.01300434,400,1,99000,0.016047731,254.4428,99000,250.1438,99000,99000,6,10000,0,0,1,1.570799267,2,0,0,0,5,0.02873256,-0.867812,0.9252772,3.500089,0,0,90.07784,0,-0.001301824,70,0,6.68E-07,-0.006210578,-0.06788077
65,0.002206746,0,3.91E-05,0.01325957,400,1,99000,0.016109138,254.4428,99000,250.1438,99000,99000,6,10000,0,0,1,1.570799294,2,0,0,0,5,0.02873256,-0.867812,0.9252772,3.500089,0,0,90.07784,0,-0.001285895,70,0,1.05E-06,-0.006105468,-0.06788077
66,0.002643892,0,1.32E-05,0.01350849,400,1,99000,0.016157263,254.4429,99000,250.1439,99000,99000,6,10000,0,0,1,1.570799307,2,0,0,0,5,0.02873251,-0.8678121,0.9252771,3.500089,0,0,90.07784,0,-0.001266347,70,0,1.24E-06,-0.005998322,-0.06788077
67,0.003363948,0,-1.86E-05,0.01388685,400,1,99000,0.016227743,254.4429,99000,250.1439,99000,99000,6,10000,0,0,1,1.570799309,2,0,0,0,5,0.02873251,-0.8678121,0.9252771,3.500089,0,0,90.07784,0,-0.001217752,70,0,1.16E-06,-0.005778783,-0.06788077
68,0.003620601,0,-2.77E-05,0.01397889,400,1,99000,0.016273578,254.4429,99000,250.1439,99000,99000,6,10000,0,0,1,1.570799305,2,0,0,0,5,0.02873243,-0.8678122,0.925277,3.500089,0,0,90.07784,0,-0.001189686,70,0,9.74E-07,-0.005667248,-0.06788077
69,0.003798239,0,-3.39E-05,0.01399001,400,1,99000,0.01632957,254.4429,99000,250.1439,99000,99000,6,10000,0,0,1,1.5707993,2,0,0,0,5,0.02873243,-0.8678122,0.925277,3.500089,0,0,90.07784,0,-0.001159899,70,0,7.25E-07,-0.005555317,-0.06788077
70,0.003890069,0,-5.66E-05,0.01391529,400,1,99000,0.016397544,254.4429,99000,250.1439,99000,99000,6,10000,0,0,1,1.570799304,2,0,0,0,5,0.02873243,-0.8678122,0.925277,3.500089,0,0,90.07784,0,-0.001129087,70,0,6.29E-08,-0.005443668,-0.06807253
